,,,,Total,Hombre,Mujer,No especificado
03 001,Comondú,No especificado,Total,15,11,4,
03 001,Comondú,No especificado,No especificado,15,11,4,
03 002,Mulegé,Total,Total,7,6,1,
03 002,Mulegé,Total,Enero,1,1,,
03 002,Mulegé,Total,Marzo,1,1,,
03 002,Mulegé,Total,Junio,3,2,1,
03 002,Mulegé,Total,Septiembre,1,1,,
03 002,Mulegé,Total,No especificado,1,1,,
03 002,Mulegé,2022,Total,6,5,1,
03 002,Mulegé,2022,Enero,1,1,,
03 002,Mulegé,2022,Marzo,1,1,,
03 002,Mulegé,2022,Junio,3,2,1,
03 002,Mulegé,2022,Septiembre,1,1,,
03 002,Mulegé,No especificado,Total,1,1,,
03 002,Mulegé,No especificado,No especificado,1,1,,
03 003,La Paz,Total,Total,20,17,3,
03 003,La Paz,Total,Enero,2,1,1,
03 003,La Paz,Total,Febrero,3,3,,
03 003,La Paz,Total,Marzo,1,1,,
03 003,La Paz,Total,Mayo,1,1,,
03 003,La Paz,Total,Junio,1,1,,
03 003,La Paz,Total,Julio,1,,1,
03 003,La Paz,Total,Agosto,2,2,,
03 003,La Paz,Total,Septiembre,1,,1,
03 003,La Paz,Total,Octubre,1,1,,
03 003,La Paz,Total,Noviembre,1,1,,
03 003,La Paz,Total,Diciembre,2,2,,
03 003,La Paz,Total,No especificado,4,4,,
03 003,La Paz,2022,Total,16,13,3,
03 003,La Paz,2022,Enero,2,1,1,
03 003,La Paz,2022,Febrero,3,3,,
03 003,La Paz,2022,Marzo,1,1,,
03 003,La Paz,2022,Mayo,1,1,,
03 003,La Paz,2022,Junio,1,1,,
03 003,La Paz,2022,Julio,1,,1,
03 003,La Paz,2022,Agosto,2,2,,
03 003,La Paz,2022,Septiembre,1,,1,
03 003,La Paz,2022,Octubre,1,1,,
03 003,La Paz,2022,Noviembre,1,1,,
03 003,La Paz,2022,Diciembre,2,2,,
03 003,La Paz,No especificado,Total,4,4,,
03 003,La Paz,No especificado,No especificado,4,4,,
03 008,Los Cabos,Total,Total,32,28,4,
03 008,Los Cabos,Total,Enero,2,2,,
03 008,Los Cabos,Total,Abril,2,2,,
03 008,Los Cabos,Total,Mayo,1,1,,
03 008,Los Cabos,Total,Junio,4,2,2,
03 008,Los Cabos,Total,Julio,1,1,,
03 008,Los Cabos,Total,Agosto,1,1,,
03 008,Los Cabos,Total,Septiembre,2,2,,
03 008,Los Cabos,Total,Octubre,1,,1,
03 008,Los Cabos,Total,Diciembre,2,2,,
03 008,Los Cabos,Total,No especificado,16,15,1,
03 008,Los Cabos,2021,Total,1,,1,
03 008,Los Cabos,2021,Junio,1,,1,
03 008,Los Cabos,2022,Total,15,13,2,
03 008,Los Cabos,2022,Enero,2,2,,
03 008,Los Cabos,2022,Abril,2,2,,
03 008,Los Cabos,2022,Mayo,1,1,,
03 008,Los Cabos,2022,Junio,3,2,1,
03 008,Los Cabos,2022,Julio,1,1,,
03 008,Los Cabos,2022,Agosto,1,1,,
03 008,Los Cabos,2022,Septiembre,2,2,,
03 008,Los Cabos,2022,Octubre,1,,1,
03 008,Los Cabos,2022,Diciembre,2,2,,
03 008,Los Cabos,No especificado,Total,16,15,1,
03 008,Los Cabos,No especificado,No especificado,16,15,1,
03 999,No especificado,Total,Total,1,,1,
03 999,No especificado,Total,Abril,1,,1,
03 999,No especificado,2022,Total,1,,1,
03 999,No especificado,2022,Abril,1,,1,
4,Campeche,Total,Total,93,81,12,
4,Campeche,Total,Enero,9,7,2,
4,Campeche,Total,Febrero,6,5,1,
4,Campeche,Total,Marzo,4,4,,
4,Campeche,Total,Abril,2,2,,
4,Campeche,Total,Mayo,12,8,4,
4,Campeche,Total,Junio,10,9,1,
4,Campeche,Total,Julio,7,5,2,
4,Campeche,Total,Agosto,1,,1,
4,Campeche,Total,Septiembre,6,6,,
4,Campeche,Total,Octubre,9,9,,
4,Campeche,Total,Noviembre,13,13,,
4,Campeche,Total,Diciembre,14,13,1,
4,Campeche,2017,Total,1,1,,
4,Campeche,2017,Octubre,1,1,,
4,Campeche,2022,Total,92,80,12,
4,Campeche,2022,Enero,9,7,2,
4,Campeche,2022,Febrero,6,5,1,
4,Campeche,2022,Marzo,4,4,,
4,Campeche,2022,Abril,2,2,,
4,Campeche,2022,Mayo,12,8,4,
4,Campeche,2022,Junio,10,9,1,
4,Campeche,2022,Julio,7,5,2,
4,Campeche,2022,Agosto,1,,1,
4,Campeche,2022,Septiembre,6,6,,
4,Campeche,2022,Octubre,8,8,,
4,Campeche,2022,Noviembre,13,13,,
4,Campeche,2022,Diciembre,14,13,1,
04 002,Campeche,Total,Total,33,29,4,
04 002,Campeche,Total,Enero,1,1,,
04 002,Campeche,Total,Febrero,2,1,1,
04 002,Campeche,Total,Marzo,2,2,,
04 002,Campeche,Total,Abril,1,1,,
04 002,Campeche,Total,Mayo,6,5,1,
04 002,Campeche,Total,Junio,2,2,,
04 002,Campeche,Total,Julio,3,1,2,
04 002,Campeche,Total,Septiembre,1,1,,
04 002,Campeche,Total,Octubre,3,3,,
04 002,Campeche,Total,Noviembre,5,5,,
04 002,Campeche,Total,Diciembre,7,7,,
04 002,Campeche,2017,Total,1,1,,
04 002,Campeche,2017,Octubre,1,1,,
04 002,Campeche,2022,Total,32,28,4,
04 002,Campeche,2022,Enero,1,1,,
04 002,Campeche,2022,Febrero,2,1,1,
04 002,Campeche,2022,Marzo,2,2,,
04 002,Campeche,2022,Abril,1,1,,
04 002,Campeche,2022,Mayo,6,5,1,
04 002,Campeche,2022,Junio,2,2,,
04 002,Campeche,2022,Julio,3,1,2,
04 002,Campeche,2022,Septiembre,1,1,,
04 002,Campeche,2022,Octubre,2,2,,
04 002,Campeche,2022,Noviembre,5,5,,
04 002,Campeche,2022,Diciembre,7,7,,
04 003,Carmen,Total,Total,22,18,4,
04 003,Carmen,Total,Febrero,2,2,,
04 003,Carmen,Total,Marzo,1,1,,
04 003,Carmen,Total,Mayo,5,2,3,
04 003,Carmen,Total,Junio,2,2,,
04 003,Carmen,Total,Julio,2,2,,
04 003,Carmen,Total,Octubre,4,4,,
04 003,Carmen,Total,Noviembre,4,4,,
04 003,Carmen,Total,Diciembre,2,1,1,
04 003,Carmen,2022,Total,22,18,4,
04 003,Carmen,2022,Febrero,2,2,,
04 003,Carmen,2022,Marzo,1,1,,
04 003,Carmen,2022,Mayo,5,2,3,
04 003,Carmen,2022,Junio,2,2,,
04 003,Carmen,2022,Julio,2,2,,
04 003,Carmen,2022,Octubre,4,4,,
04 003,Carmen,2022,Noviembre,4,4,,
04 003,Carmen,2022,Diciembre,2,1,1,
04 004,Champotón,Total,Total,8,8,,
04 004,Champotón,Total,Marzo,1,1,,
04 004,Champotón,Total,Julio,1,1,,
04 004,Champotón,Total,Septiembre,4,4,,
04 004,Champotón,Total,Octubre,1,1,,
04 004,Champotón,Total,Diciembre,1,1,,
04 004,Champotón,2022,Total,8,8,,
04 004,Champotón,2022,Marzo,1,1,,
04 004,Champotón,2022,Julio,1,1,,
04 004,Champotón,2022,Septiembre,4,4,,
04 004,Champotón,2022,Octubre,1,1,,
04 004,Champotón,2022,Diciembre,1,1,,
04 006,Hopelchén,Total,Total,1,1,,
04 006,Hopelchén,Total,Noviembre,1,1,,
04 006,Hopelchén,2022,Total,1,1,,
04 006,Hopelchén,2022,Noviembre,1,1,,
04 009,Escárcega,Total,Total,7,7,,
04 009,Escárcega,Total,Febrero,2,2,,
04 009,Escárcega,Total,Junio,3,3,,
04 009,Escárcega,Total,Julio,1,1,,
04 009,Escárcega,Total,Diciembre,1,1,,
04 009,Escárcega,2022,Total,7,7,,
04 009,Escárcega,2022,Febrero,2,2,,
04 009,Escárcega,2022,Junio,3,3,,
04 009,Escárcega,2022,Julio,1,1,,
04 009,Escárcega,2022,Diciembre,1,1,,
04 010,Calakmul,Total,Total,3,2,1,
04 010,Calakmul,Total,Junio,2,1,1,
04 010,Calakmul,Total,Septiembre,1,1,,
04 010,Calakmul,2022,Total,3,2,1,
04 010,Calakmul,2022,Junio,2,1,1,
04 010,Calakmul,2022,Septiembre,1,1,,
04 011,Candelaria,Total,Total,14,11,3,
04 011,Candelaria,Total,Enero,8,6,2,
04 011,Candelaria,Total,Abril,1,1,,
04 011,Candelaria,Total,Mayo,1,1,,
04 011,Candelaria,Total,Junio,1,1,,
04 011,Candelaria,Total,Agosto,1,,1,
04 011,Candelaria,Total,Noviembre,2,2,,
04 011,Candelaria,2022,Total,14,11,3,
04 011,Candelaria,2022,Enero,8,6,2,
04 011,Candelaria,2022,Abril,1,1,,
04 011,Candelaria,2022,Mayo,1,1,,
04 011,Candelaria,2022,Junio,1,1,,
04 011,Candelaria,2022,Agosto,1,,1,
04 011,Candelaria,2022,Noviembre,2,2,,
04 013,Dzitbalché,Total,Total,1,1,,
04 013,Dzitbalché,Total,Noviembre,1,1,,
04 013,Dzitbalché,2022,Total,1,1,,
04 013,Dzitbalché,2022,Noviembre,1,1,,
04 999,No especificado,Total,Total,4,4,,
04 999,No especificado,Total,Octubre,1,1,,
04 999,No especificado,Total,Diciembre,3,3,,
04 999,No especificado,2022,Total,4,4,,
04 999,No especificado,2022,Octubre,1,1,,
04 999,No especificado,2022,Diciembre,3,3,,
5,Coahuila de Zaragoza,Total,Total,159,136,23,
5,Coahuila de Zaragoza,Total,Enero,12,10,2,
5,Coahuila de Zaragoza,Total,Febrero,10,8,2,
5,Coahuila de Zaragoza,Total,Marzo,13,12,1,
5,Coahuila de Zaragoza,Total,Abril,16,13,3,
5,Coahuila de Zaragoza,Total,Mayo,11,10,1,
5,Coahuila de Zaragoza,Total,Junio,12,9,3,
5,Coahuila de Zaragoza,Total,Julio,19,19,,
5,Coahuila de Zaragoza,Total,Agosto,10,6,4,
5,Coahuila de Zaragoza,Total,Septiembre,17,16,1,
5,Coahuila de Zaragoza,Total,Octubre,13,11,2,
5,Coahuila de Zaragoza,Total,Noviembre,11,9,2,
5,Coahuila de Zaragoza,Total,Diciembre,15,13,2,
5,Coahuila de Zaragoza,2019,Total,1,1,,
5,Coahuila de Zaragoza,2019,Julio,1,1,,
5,Coahuila de Zaragoza,2020,Total,1,1,,
5,Coahuila de Zaragoza,2020,Diciembre,1,1,,
5,Coahuila de Zaragoza,2021,Total,8,5,3,
5,Coahuila de Zaragoza,2021,Marzo,1,1,,
5,Coahuila de Zaragoza,2021,Abril,1,1,,
5,Coahuila de Zaragoza,2021,Julio,1,1,,
5,Coahuila de Zaragoza,2021,Agosto,1,,1,
5,Coahuila de Zaragoza,2021,Noviembre,1,1,,
5,Coahuila de Zaragoza,2021,Diciembre,3,1,2,
5,Coahuila de Zaragoza,2022,Total,149,129,20,
5,Coahuila de Zaragoza,2022,Enero,12,10,2,
5,Coahuila de Zaragoza,2022,Febrero,10,8,2,
5,Coahuila de Zaragoza,2022,Marzo,12,11,1,
5,Coahuila de Zaragoza,2022,Abril,15,12,3,
5,Coahuila de Zaragoza,2022,Mayo,11,10,1,
5,Coahuila de Zaragoza,2022,Junio,12,9,3,
5,Coahuila de Zaragoza,2022,Julio,17,17,,
5,Coahuila de Zaragoza,2022,Agosto,9,6,3,
5,Coahuila de Zaragoza,2022,Septiembre,17,16,1,
5,Coahuila de Zaragoza,2022,Octubre,13,11,2,
5,Coahuila de Zaragoza,2022,Noviembre,10,8,2,
5,Coahuila de Zaragoza,2022,Diciembre,11,11,,
05 002,Acuña,Total,Total,4,4,,
05 002,Acuña,Total,Febrero,1,1,,
05 002,Acuña,Total,Mayo,1,1,,
05 002,Acuña,Total,Junio,1,1,,
05 002,Acuña,Total,Diciembre,1,1,,
05 002,Acuña,2021,Total,1,1,,
05 002,Acuña,2021,Diciembre,1,1,,
05 002,Acuña,2022,Total,3,3,,
05 002,Acuña,2022,Febrero,1,1,,
05 002,Acuña,2022,Mayo,1,1,,
05 002,Acuña,2022,Junio,1,1,,
05 003,Allende,Total,Total,3,3,,
05 003,Allende,Total,Febrero,1,1,,
05 003,Allende,Total,Abril,1,1,,
05 003,Allende,Total,Julio,1,1,,
05 003,Allende,2021,Total,1,1,,
05 003,Allende,2021,Julio,1,1,,
05 003,Allende,2022,Total,2,2,,
05 003,Allende,2022,Febrero,1,1,,
05 003,Allende,2022,Abril,1,1,,
05 004,Arteaga,Total,Total,1,1,,
05 004,Arteaga,Total,Noviembre,1,1,,
05 004,Arteaga,2022,Total,1,1,,
05 004,Arteaga,2022,Noviembre,1,1,,
05 006,Castaños,Total,Total,2,2,,
05 006,Castaños,Total,Abril,1,1,,
05 006,Castaños,Total,Mayo,1,1,,
05 006,Castaños,2022,Total,2,2,,
05 006,Castaños,2022,Abril,1,1,,
05 006,Castaños,2022,Mayo,1,1,,
05 007,Cuatro Ciénegas,Total,Total,2,2,,
05 007,Cuatro Ciénegas,Total,Julio,1,1,,
05 007,Cuatro Ciénegas,Total,Diciembre,1,1,,
05 007,Cuatro Ciénegas,2022,Total,2,2,,
05 007,Cuatro Ciénegas,2022,Julio,1,1,,
05 007,Cuatro Ciénegas,2022,Diciembre,1,1,,
05 009,Francisco I. Madero,Total,Total,2,2,,
05 009,Francisco I. Madero,Total,Febrero,1,1,,
05 009,Francisco I. Madero,Total,Septiembre,1,1,,
05 009,Francisco I. Madero,2022,Total,2,2,,
05 009,Francisco I. Madero,2022,Febrero,1,1,,
05 009,Francisco I. Madero,2022,Septiembre,1,1,,
05 010,Frontera,Total,Total,2,2,,
05 010,Frontera,Total,Julio,2,2,,
05 010,Frontera,2022,Total,2,2,,
05 010,Frontera,2022,Julio,2,2,,
05 012,Guerrero,Total,Total,1,1,,
05 012,Guerrero,Total,Octubre,1,1,,
05 012,Guerrero,2022,Total,1,1,,
05 012,Guerrero,2022,Octubre,1,1,,
05 017,Matamoros,Total,Total,10,9,1,
05 017,Matamoros,Total,Enero,1,,1,
05 017,Matamoros,Total,Mayo,1,1,,
05 017,Matamoros,Total,Julio,1,1,,
05 017,Matamoros,Total,Agosto,2,2,,
05 017,Matamoros,Total,Septiembre,4,4,,
05 017,Matamoros,Total,Octubre,1,1,,
05 017,Matamoros,2022,Total,10,9,1,
05 017,Matamoros,2022,Enero,1,,1,
05 017,Matamoros,2022,Mayo,1,1,,
05 017,Matamoros,2022,Julio,1,1,,
05 017,Matamoros,2022,Agosto,2,2,,
05 017,Matamoros,2022,Septiembre,4,4,,
05 017,Matamoros,2022,Octubre,1,1,,
05 018,Monclova,Total,Total,7,7,,
05 018,Monclova,Total,Febrero,1,1,,
05 018,Monclova,Total,Julio,2,2,,
05 018,Monclova,Total,Octubre,2,2,,
05 018,Monclova,Total,Diciembre,2,2,,
05 018,Monclova,2020,Total,1,1,,
05 018,Monclova,2020,Diciembre,1,1,,
05 018,Monclova,2022,Total,6,6,,
05 018,Monclova,2022,Febrero,1,1,,
05 018,Monclova,2022,Julio,2,2,,
05 018,Monclova,2022,Octubre,2,2,,
05 018,Monclova,2022,Diciembre,1,1,,
05 022,Nava,Total,Total,1,1,,
05 022,Nava,Total,Septiembre,1,1,,
05 022,Nava,2022,Total,1,1,,
05 022,Nava,2022,Septiembre,1,1,,
05 023,Ocampo,Total,Total,1,,1,
05 023,Ocampo,Total,Junio,1,,1,
05 023,Ocampo,2022,Total,1,,1,
05 023,Ocampo,2022,Junio,1,,1,
05 024,Parras,Total,Total,3,1,2,
05 024,Parras,Total,Abril,1,,1,
05 024,Parras,Total,Agosto,1,,1,
05 024,Parras,Total,Septiembre,1,1,,
05 024,Parras,2022,Total,3,1,2,
05 024,Parras,2022,Abril,1,,1,
05 024,Parras,2022,Agosto,1,,1,
05 024,Parras,2022,Septiembre,1,1,,
05 025,Piedras Negras,Total,Total,16,13,3,
05 025,Piedras Negras,Total,Enero,1,1,,
05 025,Piedras Negras,Total,Marzo,2,2,,
05 025,Piedras Negras,Total,Abril,4,3,1,
05 025,Piedras Negras,Total,Junio,1,,1,
05 025,Piedras Negras,Total,Julio,2,2,,
05 025,Piedras Negras,Total,Agosto,1,,1,
05 025,Piedras Negras,Total,Octubre,3,3,,
05 025,Piedras Negras,Total,Noviembre,1,1,,
05 025,Piedras Negras,Total,Diciembre,1,1,,
05 025,Piedras Negras,2022,Total,16,13,3,
05 025,Piedras Negras,2022,Enero,1,1,,
05 025,Piedras Negras,2022,Marzo,2,2,,
05 025,Piedras Negras,2022,Abril,4,3,1,
05 025,Piedras Negras,2022,Junio,1,,1,
05 025,Piedras Negras,2022,Julio,2,2,,
05 025,Piedras Negras,2022,Agosto,1,,1,
05 025,Piedras Negras,2022,Octubre,3,3,,
05 025,Piedras Negras,2022,Noviembre,1,1,,
05 025,Piedras Negras,2022,Diciembre,1,1,,
05 027,Ramos Arizpe,Total,Total,6,6,,
05 027,Ramos Arizpe,Total,Enero,1,1,,
05 027,Ramos Arizpe,Total,Marzo,1,1,,
05 027,Ramos Arizpe,Total,Abril,1,1,,
05 027,Ramos Arizpe,Total,Junio,2,2,,
05 027,Ramos Arizpe,Total,Septiembre,1,1,,
05 027,Ramos Arizpe,2021,Total,1,1,,
05 027,Ramos Arizpe,2021,Abril,1,1,,
05 027,Ramos Arizpe,2022,Total,5,5,,
05 027,Ramos Arizpe,2022,Enero,1,1,,
05 027,Ramos Arizpe,2022,Marzo,1,1,,
05 027,Ramos Arizpe,2022,Junio,2,2,,
05 027,Ramos Arizpe,2022,Septiembre,1,1,,
05 028,Sabinas,Total,Total,5,5,,
05 028,Sabinas,Total,Enero,1,1,,
05 028,Sabinas,Total,Noviembre,2,2,,
05 028,Sabinas,Total,Diciembre,2,2,,
05 028,Sabinas,2021,Total,1,1,,
05 028,Sabinas,2021,Noviembre,1,1,,
05 028,Sabinas,2022,Total,4,4,,
05 028,Sabinas,2022,Enero,1,1,,
05 028,Sabinas,2022,Noviembre,1,1,,
05 028,Sabinas,2022,Diciembre,2,2,,
05 030,Saltillo,Total,Total,40,36,4,
05 030,Saltillo,Total,Enero,3,3,,
05 030,Saltillo,Total,Febrero,3,2,1,
05 030,Saltillo,Total,Marzo,4,4,,
05 030,Saltillo,Total,Abril,1,1,,
05 030,Saltillo,Total,Mayo,6,5,1,
05 030,Saltillo,Total,Junio,1,1,,
05 030,Saltillo,Total,Julio,7,7,,
05 030,Saltillo,Total,Agosto,2,2,,
05 030,Saltillo,Total,Septiembre,4,4,,
05 030,Saltillo,Total,Octubre,3,2,1,
05 030,Saltillo,Total,Noviembre,2,2,,
05 030,Saltillo,Total,Diciembre,4,3,1,
05 030,Saltillo,2021,Total,1,,1,
05 030,Saltillo,2021,Diciembre,1,,1,
05 030,Saltillo,2022,Total,39,36,3,
05 030,Saltillo,2022,Enero,3,3,,
05 030,Saltillo,2022,Febrero,3,2,1,
05 030,Saltillo,2022,Marzo,4,4,,
05 030,Saltillo,2022,Abril,1,1,,
05 030,Saltillo,2022,Mayo,6,5,1,
05 030,Saltillo,2022,Junio,1,1,,
05 030,Saltillo,2022,Julio,7,7,,
05 030,Saltillo,2022,Agosto,2,2,,
05 030,Saltillo,2022,Septiembre,4,4,,
05 030,Saltillo,2022,Octubre,3,2,1,
05 030,Saltillo,2022,Noviembre,2,2,,
05 030,Saltillo,2022,Diciembre,3,3,,
05 032,San Juan de Sabinas,Total,Total,3,2,1,
05 032,San Juan de Sabinas,Total,Marzo,1,1,,
05 032,San Juan de Sabinas,Total,Septiembre,1,1,,
05 032,San Juan de Sabinas,Total,Noviembre,1,,1,
05 032,San Juan de Sabinas,2022,Total,3,2,1,
05 032,San Juan de Sabinas,2022,Marzo,1,1,,
05 032,San Juan de Sabinas,2022,Septiembre,1,1,,
05 032,San Juan de Sabinas,2022,Noviembre,1,,1,
05 033,San Pedro,Total,Total,10,8,2,
05 033,San Pedro,Total,Febrero,2,1,1,
05 033,San Pedro,Total,Marzo,1,1,,
05 033,San Pedro,Total,Mayo,1,1,,
05 033,San Pedro,Total,Septiembre,3,2,1,
05 033,San Pedro,Total,Octubre,1,1,,
05 033,San Pedro,Total,Diciembre,2,2,,
05 033,San Pedro,2022,Total,10,8,2,
05 033,San Pedro,2022,Febrero,2,1,1,
05 033,San Pedro,2022,Marzo,1,1,,
05 033,San Pedro,2022,Mayo,1,1,,
05 033,San Pedro,2022,Septiembre,3,2,1,
05 033,San Pedro,2022,Octubre,1,1,,
05 033,San Pedro,2022,Diciembre,2,2,,
05 035,Torreón,Total,Total,37,29,8,
05 035,Torreón,Total,Enero,4,4,,
05 035,Torreón,Total,Febrero,1,1,,
05 035,Torreón,Total,Marzo,3,2,1,
05 035,Torreón,Total,Abril,7,6,1,
05 035,Torreón,Total,Mayo,1,1,,
05 035,Torreón,Total,Junio,6,5,1,
05 035,Torreón,Total,Julio,3,3,,
05 035,Torreón,Total,Agosto,3,1,2,
05 035,Torreón,Total,Septiembre,1,1,,
05 035,Torreón,Total,Octubre,2,1,1,
05 035,Torreón,Total,Noviembre,4,3,1,
05 035,Torreón,Total,Diciembre,2,1,1,
05 035,Torreón,2019,Total,1,1,,
05 035,Torreón,2019,Julio,1,1,,
05 035,Torreón,2021,Total,2,,2,
05 035,Torreón,2021,Agosto,1,,1,
05 035,Torreón,2021,Diciembre,1,,1,
05 035,Torreón,2022,Total,34,28,6,
05 035,Torreón,2022,Enero,4,4,,
05 035,Torreón,2022,Febrero,1,1,,
05 035,Torreón,2022,Marzo,3,2,1,
05 035,Torreón,2022,Abril,7,6,1,
05 035,Torreón,2022,Mayo,1,1,,
05 035,Torreón,2022,Junio,6,5,1,
05 035,Torreón,2022,Julio,2,2,,
05 035,Torreón,2022,Agosto,2,1,1,
05 035,Torreón,2022,Septiembre,1,1,,
05 035,Torreón,2022,Octubre,2,1,1,
05 035,Torreón,2022,Noviembre,4,3,1,
05 035,Torreón,2022,Diciembre,1,1,,
05 036,Viesca,Total,Total,1,,1,
05 036,Viesca,Total,Enero,1,,1,
05 036,Viesca,2022,Total,1,,1,
05 036,Viesca,2022,Enero,1,,1,
05 038,Zaragoza,Total,Total,1,1,,
05 038,Zaragoza,Total,Marzo,1,1,,
05 038,Zaragoza,2021,Total,1,1,,
05 038,Zaragoza,2021,Marzo,1,1,,
05 999,No especificado,Total,Total,1,1,,
05 999,No especificado,Total,Agosto,1,1,,
05 999,No especificado,2022,Total,1,1,,
05 999,No especificado,2022,Agosto,1,1,,
6,Colima,Total,Total,848,742,106,
6,Colima,Total,Enero,46,44,2,
6,Colima,Total,Febrero,61,57,4,
6,Colima,Total,Marzo,87,79,8,
6,Colima,Total,Abril,72,64,8,
6,Colima,Total,Mayo,92,77,15,
6,Colima,Total,Junio,64,50,14,
6,Colima,Total,Julio,48,43,5,
6,Colima,Total,Agosto,68,60,8,
6,Colima,Total,Septiembre,68,61,7,
6,Colima,Total,Octubre,83,71,12,
6,Colima,Total,Noviembre,63,56,7,
6,Colima,Total,Diciembre,61,53,8,
6,Colima,Total,No especificado,35,27,8,
6,Colima,2019,Total,1,1,,
6,Colima,2019,Septiembre,1,1,,
6,Colima,2020,Total,3,2,1,
6,Colima,2020,Octubre,2,2,,
6,Colima,2020,Diciembre,1,,1,
6,Colima,2021,Total,10,10,,
6,Colima,2021,Abril,1,1,,
6,Colima,2021,Junio,1,1,,
6,Colima,2021,Julio,1,1,,
6,Colima,2021,Agosto,2,2,,
6,Colima,2021,Octubre,1,1,,
6,Colima,2021,Noviembre,2,2,,
6,Colima,2021,Diciembre,2,2,,
6,Colima,2022,Total,799,702,97,
6,Colima,2022,Enero,46,44,2,
6,Colima,2022,Febrero,61,57,4,
6,Colima,2022,Marzo,87,79,8,
6,Colima,2022,Abril,71,63,8,
6,Colima,2022,Mayo,92,77,15,
6,Colima,2022,Junio,63,49,14,
6,Colima,2022,Julio,47,42,5,
6,Colima,2022,Agosto,66,58,8,
6,Colima,2022,Septiembre,67,60,7,
6,Colima,2022,Octubre,80,68,12,
6,Colima,2022,Noviembre,61,54,7,
6,Colima,2022,Diciembre,58,51,7,
6,Colima,No especificado,Total,35,27,8,
6,Colima,No especificado,No especificado,35,27,8,
06 001,Armería,Total,Total,20,18,2,
06 001,Armería,Total,Enero,1,1,,
06 001,Armería,Total,Marzo,3,3,,
06 001,Armería,Total,Abril,3,3,,
06 001,Armería,Total,Mayo,1,1,,
06 001,Armería,Total,Junio,3,2,1,
06 001,Armería,Total,Julio,3,3,,
06 001,Armería,Total,Septiembre,2,1,1,
06 001,Armería,Total,Noviembre,2,2,,
06 001,Armería,Total,Diciembre,2,2,,
06 001,Armería,2021,Total,1,1,,
06 001,Armería,2021,Diciembre,1,1,,
06 001,Armería,2022,Total,19,17,2,
06 001,Armería,2022,Enero,1,1,,
06 001,Armería,2022,Marzo,3,3,,
06 001,Armería,2022,Abril,3,3,,
06 001,Armería,2022,Mayo,1,1,,
06 001,Armería,2022,Junio,3,2,1,
06 001,Armería,2022,Julio,3,3,,
06 001,Armería,2022,Septiembre,2,1,1,
06 001,Armería,2022,Noviembre,2,2,,
06 001,Armería,2022,Diciembre,1,1,,
06 002,Colima,Total,Total,344,304,40,
06 002,Colima,Total,Enero,19,19,,
06 002,Colima,Total,Febrero,32,31,1,
06 002,Colima,Total,Marzo,43,39,4,
06 002,Colima,Total,Abril,29,23,6,
06 002,Colima,Total,Mayo,35,29,6,
06 002,Colima,Total,Junio,22,17,5,
06 002,Colima,Total,Julio,23,19,4,
06 002,Colima,Total,Agosto,24,22,2,
06 002,Colima,Total,Septiembre,27,23,4,
06 002,Colima,Total,Octubre,31,30,1,
06 002,Colima,Total,Noviembre,21,19,2,
06 002,Colima,Total,Diciembre,34,29,5,
06 002,Colima,Total,No especificado,4,4,,
06 002,Colima,2021,Total,5,5,,
06 002,Colima,2021,Abril,1,1,,
06 002,Colima,2021,Julio,1,1,,
06 002,Colima,2021,Agosto,1,1,,
06 002,Colima,2021,Noviembre,1,1,,
06 002,Colima,2021,Diciembre,1,1,,
06 002,Colima,2022,Total,335,295,40,
06 002,Colima,2022,Enero,19,19,,
06 002,Colima,2022,Febrero,32,31,1,
06 002,Colima,2022,Marzo,43,39,4,
06 002,Colima,2022,Abril,28,22,6,
06 002,Colima,2022,Mayo,35,29,6,
06 002,Colima,2022,Junio,22,17,5,
06 002,Colima,2022,Julio,22,18,4,
06 002,Colima,2022,Agosto,23,21,2,
06 002,Colima,2022,Septiembre,27,23,4,
06 002,Colima,2022,Octubre,31,30,1,
06 002,Colima,2022,Noviembre,20,18,2,
06 002,Colima,2022,Diciembre,33,28,5,
06 002,Colima,No especificado,Total,4,4,,
06 002,Colima,No especificado,No especificado,4,4,,
06 003,Comala,Total,Total,24,24,,
06 003,Comala,Total,Febrero,1,1,,
06 003,Comala,Total,Marzo,3,3,,
06 003,Comala,Total,Abril,3,3,,
06 003,Comala,Total,Mayo,5,5,,
06 003,Comala,Total,Junio,3,3,,
06 003,Comala,Total,Julio,1,1,,
06 003,Comala,Total,Agosto,3,3,,
06 003,Comala,Total,Septiembre,3,3,,
06 003,Comala,Total,Diciembre,2,2,,
06 003,Comala,2022,Total,24,24,,
06 003,Comala,2022,Febrero,1,1,,
06 003,Comala,2022,Marzo,3,3,,
06 003,Comala,2022,Abril,3,3,,
06 003,Comala,2022,Mayo,5,5,,
06 003,Comala,2022,Junio,3,3,,
06 003,Comala,2022,Julio,1,1,,
06 003,Comala,2022,Agosto,3,3,,
06 003,Comala,2022,Septiembre,3,3,,
06 003,Comala,2022,Diciembre,2,2,,
06 004,Coquimatlán,Total,Total,22,21,1,
06 004,Coquimatlán,Total,Febrero,1,1,,
06 004,Coquimatlán,Total,Marzo,3,3,,
06 004,Coquimatlán,Total,Abril,5,5,,
06 004,Coquimatlán,Total,Mayo,5,5,,
06 004,Coquimatlán,Total,Junio,3,2,1,
06 004,Coquimatlán,Total,Julio,3,3,,
06 004,Coquimatlán,Total,Septiembre,1,1,,
